name,ra,dec,priority,type
3DHST_Q_21724,189.063257,62.248675,1528,TARGET
3DHST_Q_21810,189.500546,62.248718,1528,TARGET
3DHST_Q_22027,189.065790,62.249816,1528,TARGET
3DHST_Q_23435,189.338306,62.256571,1528,TARGET
3DHST_Q_23498,189.417612,62.257164,1528,TARGET
3DHST_Q_23624,189.008627,62.257392,1528,TARGET
3DHST_Q_24345,189.244758,62.261225,1528,TARGET
3DHST_Q_26002,189.097421,62.269586,1528,TARGET
3DHST_Q_26350,189.536370,62.271670,1528,TARGET
3DHST_Q_26422,189.551610,62.271284,1528,TARGET
3DHST_Q_26470,189.495303,62.271754,1528,TARGET
3DHST_Q_27185,189.242059,62.277510,1528,TARGET
3DHST_Q_27600,189.077863,62.278531,1528,TARGET
3DHST_Q_29756,189.202488,62.290021,1528,TARGET
3DHST_Q_30676,189.116123,62.295613,1528,TARGET
3DHST_Q_30957,189.224340,62.296309,1528,TARGET
3DHST_Q_31022,189.440758,62.296856,1528,TARGET
3DHST_Q_31729,189.465705,62.300783,1528,TARGET
3DHST_Q_32000,189.098841,62.302608,1528,TARGET
3DHST_Q_32566,189.161280,62.307577,1528,TARGET
3DHST_Q_32691,189.347593,62.307165,1528,TARGET
3DHST_Q_33019,189.468112,62.309915,1528,TARGET
3DHST_Q_33464,189.404720,62.312932,1528,TARGET
3DHST_Q_34580,189.419770,62.322214,1528,TARGET
3DHST_Q_34630,189.444194,62.321885,1528,TARGET
3DHST_Q_34694,189.147840,62.323647,1528,TARGET
3DHST_Q_35099,189.388554,62.326692,1528,TARGET
3DHST_Q_35299,189.360002,62.329100,1528,TARGET
3DHST_Q_35835,189.212077,62.332126,1528,TARGET
3DHST_Q_36408,189.361325,62.338384,1528,TARGET
3DHST_Q_36751,189.366080,62.342985,1528,TARGET
3DHST_Q_37210,189.252761,62.350806,1528,TARGET
3DHST_Q_37325,189.251371,62.351582,1528,TARGET
3DHST_Q_37375,189.314561,62.352151,1528,TARGET
3DHST_Q_37686,189.274474,62.360820,1528,TARGET
3DHST_24964,189.450912,62.264668,8,TARGET
3DHST_36690,189.209793,62.342331,9,TARGET
3DHST_5447,189.251968,62.167175,10,TARGET
3DHST_9557,189.265121,62.189430,11,TARGET
3DHST_10413,189.111145,62.193996,12,TARGET
3DHST_7009,189.307587,62.177124,13,TARGET
3DHST_35973,189.341034,62.333809,14,TARGET
3DHST_31301,189.261826,62.298607,15,TARGET
3DHST_38053,189.360138,62.373989,16,TARGET
3DHST_8703,189.138687,62.185291,17,TARGET
3DHST_37542,189.341034,62.355331,7,TARGET
3DHST_12523,189.346252,62.203732,19,TARGET
3DHST_28548,189.323822,62.282497,20,TARGET
3DHST_23872,189.332184,62.258720,21,TARGET
3DHST_34718,189.165741,62.322956,7,TARGET
